"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
.1,,Error,,Percentages are missing for one or more .,{me:iati-url()},"iati-activity[(recipient-country or recipient-region) and starts-with($iati-version, '1.')]",count($group[not(@percentage)]) > 0
.1,,Error,,Percentages are missing for one or more .,{me:iati-url()},"iati-activity[(recipient-country or recipient-region) and starts-with($iati-version, '1.')]",count($group[not(@percentage)]) > 0
.1,,Error,,Percentages are missing for one or more .,{me:iati-url()},iati-activity[recipient-country and not(recipient-region)],count($group[not(@percentage)]) > 0
.1,,Error,,Percentages are missing for one or more .,{me:iati-url()},,count($group[not(@percentage)]) > 0
.2,,Error,,Percentages for must add up to 100%.,{me:iati-url()},"iati-activity[(recipient-country or recipient-region) and starts-with($iati-version, '1.')]",abs(sum($group/@percentage)-100) > 0.0101
.2,,Error,,Percentages for must add up to 100%.,{me:iati-url()},"iati-activity[(recipient-country or recipient-region) and starts-with($iati-version, '1.')]",abs(sum($group/@percentage)-100) > 0.0101
.2,,Error,,Percentages for must add up to 100%.,{me:iati-url()},iati-activity[recipient-country and not(recipient-region)],abs(sum($group/@percentage)-100) > 0.0101
.2,,Error,,Percentages for must add up to 100%.,{me:iati-url()},,abs(sum($group/@percentage)-100) > 0.0101
.4,,Error,,"For a single , the percentage can be omitted or should be 100.",{me:iati-url()},"iati-activity[(recipient-country or recipient-region) and starts-with($iati-version, '1.')]",$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
.4,,Error,,"For a single , the percentage can be omitted or should be 100.",{me:iati-url()},"iati-activity[(recipient-country or recipient-region) and starts-with($iati-version, '1.')]",$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
.4,,Error,,"For a single , the percentage can be omitted or should be 100.",{me:iati-url()},iati-activity[recipient-country and not(recipient-region)],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
.4,,Error,,"For a single , the percentage can be omitted or should be 100.",{me:iati-url()},,$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
